Year,DOY,Reference Name
22/04/1665,21/04/2000,KAKUMEIKI
18/04/1666,17/04/2000,KIMITOSHI-KYOKI
22/04/1667,21/04/2000,HAMURO-YORINARI-KI
19/04/1668,19/04/2000,GYOJO-HOSSINNO-NIKKI [TOYOKUNI]
14/04/1669,13/04/2000,HAMURO-YORINARI-KI
12/04/1670,11/04/2000,GYOJO-HOSSINNO-NIKKI
26/04/1671,25/04/2000,GYOJO-HOSSINNO-NIKKI [KINDAI]
21/04/1672,21/04/2000,GYOJO-HOSSINNO-NIKKI [SEIRYODEN]
15/04/1673,14/04/2000,MUJOHOINDONO-GONIKKI
25/04/1674,24/04/2000,GYOJO-HOSSINNO-NIKKI
21/04/1675,20/04/2000,GYOJO-HOSSINNO-NIKKI [TOJI]
12/04/1676,12/04/2000,GYOJO-HOSSINNO-NIKKI
06/04/1677,05/04/2000,MUJOHOINDONO-GONIKKI
19/04/1678,18/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHI-IWAKURA]
24/04/1679,23/04/2000,MUJOHOINDONO-GONIKKI
18/04/1680,18/04/2000,GYOJO-HOSSINNO-NIKKI [KIYOMIZU-CHIONIN]
20/04/1681,19/04/2000,OYUDONONO-UENO-NIKKI [EDA]
14/04/1682,13/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA]
18/04/1683,17/04/2000,ITO-JINSAI-NIKKI
27/04/1684,27/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA]
16/04/1685,15/04/2000,OYUDONONO-UENO-NIKKI [EDA]
14/04/1686,13/04/2000,GYOJO-HOSSINNO-NIKKI
14/04/1687,13/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA]
23/04/1688,23/04/2000,GYOJO-HOSSINNO-NIKKI
07/04/1689,06/04/2000,GYOJO-HOSSINNO-NIKKI [KOSAKATEI]
03/04/1690,02/04/2000,GYOJO-HOSSINNO-NIKKI [KOSAKATEI]
13/04/1691,12/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA]
18/04/1692,18/04/2000,GYOJO-HOSSINNO-NIKKI [CHIONIN]
17/04/1693,16/04/2000,GYOJO-HOSSINNO-NIKKI [HIGASHIYAMA]
19/04/1694,18/04/2000,MYOHOIN-HINAMIKI
30/04/1695,29/04/2000,MYOHOIN-HINAMIKI
23/04/1696,23/04/2000,MOTOKAZU-KYOKI
21/04/1697,20/04/2000,SADAMOTO-KYOKI
11/04/1698,10/04/2000,MOTOKAZU-KYOKI
07/04/1699,06/04/2000,MOTOHIRO-KOKI
26/04/1700,25/04/2000,CHIONIN-NICHIKAGAMI
22/04/1701,21/04/2000,MOTOKAZU-KYOKI
26/04/1702,25/04/2000,MOTOHIRO-KOKI
13/04/1703,12/04/2000,MYOHOIN-HINAMIKI
22/04/1704,22/04/2000,MYOHOIN-HINAMIKI
19/04/1705,18/04/2000,MYOHOIN-HINAMIKI
25/04/1706,24/04/2000,KANEKA-KYOKI
21/04/1707,20/04/2000,MYOHOIN-HINAMIKI
12/04/1708,12/04/2000,MOTOHIRO-KOKI
16/04/1709,15/04/2000,MOTOHIRO-KOKI
14/04/1713,13/04/2000,MYOHOIN-HINAMIKI
18/04/1714,17/04/2000,MYOHOIN-HINAMIKI
17/04/1715,16/04/2000,CHIONIN-NICHIKAGAMI
19/04/1716,19/04/2000,MYOHOIN-HINAMIKI
08/04/1717,07/04/2000,MOTOHIRO-KOKI
12/04/1718,11/04/2000,MOTOHIRO-KOKI
12/04/1719,11/04/2000,MOTOHIRO-KOKI
23/04/1720,23/04/2000,NAKANOIN-MICHIEDAKI
05/04/1721,04/04/2000,MOTOHIRO-KOKI
10/04/1722,09/04/2000,MOTOHIRO-KOKI
14/04/1723,13/04/2000,KIMIAKI-KYOKI
08/04/1724,08/04/2000,MYOHOIN-HINAMIKI
16/04/1725,15/04/2000,MOTONAGA-KYOKI
26/04/1726,25/04/2000,KAIKI
22/04/1727,21/04/2000,KAIKI
13/04/1728,13/04/2000,KAIKI
15/04/1729,14/04/2000,MYOHOIN-HINAMIKI
14/04/1731,13/04/2000,MITSUTSUNA-KYOKI
17/04/1732,17/04/2000,GYOKYO-HOSSINNO-NIKKI
17/04/1733,16/04/2000,MYOHOIN-HINAMIKI
12/04/1734,11/04/2000,MYOHOIN-HINAMIKI [ARASHIYAMA]
11/04/1735,10/04/2000,MYOHOIN-HINAMIKI
15/04/1736,15/04/2000,MICHIE-KOKI
03/04/1737,02/04/2000,MYOHOIN-HINAMIKI
11/04/1738,10/04/2000,MYOHOIN-HINAMIKI
20/04/1739,19/04/2000,MICHIE-KOKI
24/04/1740,24/04/2000,MYOHOIN-HINAMIKI
19/04/1741,18/04/2000,MYOHOIN-HINAMIKI
19/04/1742,18/04/2000,MYOHOIN-HINAMIKI
18/04/1743,17/04/2000,MYOHOIN-HINAMIKI
07/04/1744,07/04/2000,MYOHOIN-HINAMIKI
15/04/1745,14/04/2000,MICHIE-KOKI
20/04/1746,19/04/2000,MICHIE-KOKI
11/04/1747,10/04/2000,MICHIE-KOKI
05/04/1748,05/04/2000,MYOHOIN-HINAMIKI
10/04/1749,09/04/2000,MYOHOIN-HINAMIKI
20/04/1750,19/04/2000,MYOHOIN-HINAMIKI
13/04/1751,12/04/2000,NAKANOIN-MICHIEDAKI
19/04/1752,19/04/2000,NAKANOIN-MICHIEDAKI
06/04/1753,05/04/2000,NAKANOIN-MICHIEDAKI
25/04/1754,24/04/2000,SADAYUKI-KYOKI
30/04/1755,29/04/2000,SADAYUKI-KYOKI
18/04/1756,18/04/2000,NORINAGA-ZAIKYO-NIKKI
22/04/1757,21/04/2000,MYOHOIN-HINAMIKI
11/04/1758,10/04/2000,MYOHOIN-HINAMIKI
19/04/1759,18/04/2000,MYOHOIN-HINAMIKI
12/04/1760,12/04/2000,MYOHOIN-HINAMIKI
30/03/1761,29/03/2000,MYOHOIN-HINAMIKI
16/04/1762,15/04/2000,MYOHOIN-HINAMIKI
22/04/1763,21/04/2000,MYOHOIN-HINAMIKI
07/04/1764,07/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
16/04/1765,15/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
23/04/1766,22/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
11/04/1767,10/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
26/04/1768,26/04/2000,SADAHARU-KYOKI
15/04/1769,14/04/2000,YANAGIHARA-KOREMITSU-NIKKI
15/04/1770,14/04/2000,(SHIRYO-KOHON)
14/04/1771,13/04/2000,(SHIRYO-KOHON)
15/04/1772,15/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
10/04/1773,09/04/2000,ZOKU-SHIGUSHO
20/04/1774,19/04/2000,GOSAKURAMACHI-TENNNOU-SHINKI
09/04/1775,08/04/2000,GOMOMOZONO-TENNNOU-SHINKI
17/04/1776,17/04/2000,TERUYOSHI-KOKI
14/04/1777,13/04/2000,MORIYAMA-TAKAMORI-NIKKI
21/04/1778,20/04/2000,TERUYOSHI-KOKI
06/04/1779,05/04/2000,MYOHOIN-HINAMIKI
18/04/1780,18/04/2000,TERUYOSHI-KOKI
01/04/1781,31/03/2000,MYOHOIN-HINAMIKI
19/04/1782,18/04/2000,TERUYOSHI-KOKI
13/04/1783,12/04/2000,SUGIURAKE-NIKKI
14/04/1784,14/04/2000,SUGIURAKE-NIKKI
18/04/1785,17/04/2000,SUGIURAKE-NIKKI
16/04/1786,15/04/2000,SUGIURAKE-NIKKI
15/04/1787,14/04/2000,SUGIURAKE-NIKKI
18/04/1788,18/04/2000,TERUYOSHI-KOKI
16/04/1789,15/04/2000,KOUKANSIYU-NIKKI
29/04/1790,28/04/2000,SUGIURAKE-NIKKI
09/04/1791,08/04/2000,SUGIURAKE-NIKKI
10/04/1792,10/04/2000,TERUYOSHI-KOKI
16/04/1793,15/04/2000,TERUYOSHI-KOKI
14/04/1794,13/04/2000,SUGIURAKE-NIKKI
23/04/1795,22/04/2000,TERUYOSHI-KOKI
12/04/1796,12/04/2000,SUGIURAKE-NIKKI
07/04/1797,06/04/2000,TADAYOSHI-KOKI
20/04/1798,19/04/2000,SUGIURAKE-NIKKI
13/04/1799,12/04/2000,SUGIURAKE-NIKKI
13/04/1800,12/04/2000,SUGIURAKE-NIKKI
29-Mar-90,28/03/2000,NEWS-PAPER(ARASHIYAMA)
02-Apr-59,01/04/2000,NEWS-PAPER(ARASHIYAMA)
03-Apr-77,02/04/2000,NEWS-PAPER(ARASHIYAMA)
03-Apr-82,02/04/2000,NEWS-PAPER(ARASHIYAMA)
03-Apr-89,02/04/2000,NEWS-PAPER(ARASHIYAMA)
04-Apr-60,04/04/2000,NEWS-PAPER(ARASHIYAMA)
05-Apr-87,04/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-55,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-66,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-67,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-73,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-79,06/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-54,07/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-71,07/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-56,08/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-64,08/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-68,08/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-72,08/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-76,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-58,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-61,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-74,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-81,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-83,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-85,08/04/2000,NEWS-PAPER(ARASHIYAMA)
10-Apr-75,09/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-53,10/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-63,10/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-69,10/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-80,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-62,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-86,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-35,11/04/2000,NHK(ARASHIYAMA)
13-Apr-57,12/04/2000,NEWS-PAPER(ARASHIYAMA)
14-Apr-78,13/04/2000,NEWS-PAPER(ARASHIYAMA)
14-Apr-52,14/04/2000,NEWS-PAPER(ARASHIYAMA)
15-Apr-88,15/04/2000,NEWS-PAPER(ARASHIYAMA)
16-Apr-33,15/04/2000,NEWS-PAPER(ARASHIYAMA)
17-Apr-70,16/04/2000,NEWS-PAPER(ARASHIYAMA)
18-Apr-84,18/04/2000,NEWS-PAPER(ARASHIYAMA)
20-Apr-65,19/04/2000,NEWS-PAPER(ARASHIYAMA)
20-Apr-36,20/04/2000,NHK(ARASHIYAMA)
01-Apr-98,31/03/2000,NEWS-PAPER(ARASHIYAMA)
01-Apr-02,31/03/2000,NEWS-PAPER(ARASHIYAMA)
01-Apr-04,01/04/2000,NEWS-PAPER(ARASHIYAMA)
03-Apr-92,03/04/2000,NEWS-PAPER(ARASHIYAMA)
04-Apr-99,03/04/2000,NEWS-PAPER(ARASHIYAMA)
05-Apr-30,04/04/2000,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
06-Apr-01,05/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-23,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-46,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-91,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-93,06/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-97,06/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-11,07/04/2000,ARASHIYAMA-TETSUDO ADV(ARASHIYAMA)
08-Apr-38,07/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
08-Apr-02,07/04/2000,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
08/04/1894,07/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-51,07/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-03,07/04/2000,NEWS-PAPER(ARASHIYAMA)
08/04/1890,07/04/2000,UEKI-SHISEI-NIKKI
09/04/1891,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09/04/1899,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-03,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-94,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-95,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-05,08/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-50,08/04/2000,NEWS-PAPET(DAIGO-JI)
09-Apr-00,09/04/2000,NEWS-PAPER(ARASHIYAMA)
10-Apr-41,09/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
10-Apr-37,09/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-22,10/04/2000,KAJII-MOTOJIRO-SHOKAN
11-Apr-48,11/04/2000,NEWS-PAPER(ARASHIYAMA)
11-Apr-08,11/04/2000,TETUDOUIN AVD(ARASHIYAMA)
12-Apr-14,11/04/2000,KOBE-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
12-Apr-00,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-01,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-15,11/04/2000,NEWS-PAPER(ARASHIYAMA)
12-Apr-96,12/04/2000,NEWS-PAPER(ARASHIYAMA)
13-Apr-07,12/04/2000,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
13-Apr-17,12/04/2000,NEWS-PAPER(ARASHIYAMA)
13-Apr-13,12/04/2000,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
13-Apr-29,12/04/2000,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
13-Apr-20,13/04/2000,NEWS-PAPER(ARASHIYAMA)
14-Apr-39,13/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
14-Apr-34,13/04/2000,NEWS-PAPER(ARASHIYAMA)
14-Apr-18,13/04/2000,SEKI-HAJIME-NIKKI
14-Apr-10,13/04/2000,TETUDOUIN AVD(ARASHIYAMA)
14-Apr-32,14/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
14-Apr-12,14/04/2000,TETUDOUIN AVD(ARASHIYAMA)
15-Apr-06,14/04/2000,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
15-Apr-05,14/04/2000,NEWS-PAPER(ARASHIYAMA)
15-Apr-31,14/04/2000,NEWS-PAPER(ARASHIYAMA)
15/04/1896,15/04/2000,NEWS-PAPER(ARASHIYAMA)
16/04/1897,15/04/2000,NEWS-PAPER(ARASHIYAMA)
16-Apr-28,16/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
16/04/1888,16/04/2000,NEWS-PAPER(ARASHIYAMA)
17-Apr-27,16/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
17-Apr-47,16/04/2000,NEWS-PAPER(ARASHIYAMA)
17-Apr-49,16/04/2000,NEWS-PAPER(ARASHIYAMA)
17-Apr-04,17/04/2000,NEWS-PAPER(ARASHIYAMA)
18-Apr-25,17/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
18-Apr-26,17/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
18/04/1898,17/04/2000,NEWS-PAPER(ARASHIYAMA)
18-Apr-09,17/04/2000,TETUDOUIN AVD(ARASHIYAMA)
19/04/1889,18/04/2000,NEWS-PAPER(ARASHIYAMA)
19/04/1893,18/04/2000,NEWS-PAPER(ARASHIYAMA)
19-Apr-40,19/04/2000,KEIHAN RAILWAY ADV(ARASHIYAMA)
20-Apr-24,20/04/2000,MITAMURA-ENGYO-NIKKI(ARASHIYAMA)
21-Apr-16,21/04/2000,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
24/04/1892,24/04/2000,NEWS-PAPER(ARASHIYAMA)
07-Apr-07,06/04/2000,NEWS-PAPER(ARASHIYAMA)
08-Apr-06,07/04/2000,NEWS-PAPER(ARASHIYAMA)
04-Apr-08,04/04/2000,NEWS-PAPER(ARASHIYAMA)
05-Apr-09,04/04/2000,NEWS-PAPER(ARASHIYAMA)
05-Apr-10,04/04/2000,NEWS-PAPER(ARASHIYAMA)
06-Apr-42,05/04/2000,ASADA-TAKASHI-NIKKI
09-Apr-44,09/04/2000,ASADA-TAKASHI-NIKKI
11-Apr-43,10/04/2000,ASADA-TAKASHI-NIKKI
03-Apr-13,02/04/2000,NEWS-PAPER(ARASHIYAMA)
03-Apr-15,02/04/2000,NEWS-PAPER(ARASHIYAMA)
04-Apr-14,03/04/2000,NEWS-PAPER(ARASHIYAMA)
09-Apr-11,08/04/2000,NEWS-PAPER(ARASHIYAMA)
10-Apr-12,10/04/2000,NEWS-PAPER(ARASHIYAMA)
12/04/1853,11/04/2000,MADENOKOJI-NIKKI
14/04/1864,14/04/2000,MADENOKOJI-NIKKI
17/04/1847,16/04/2000,MADENOKOJI-NIKKI
03/04/1805,02/04/2000,SUGIURAKE-NIKKI
07/04/1882,06/04/2000,SUGIURAKE-NIKKI
07/04/1808,07/04/2000,SUGIURAKE-NIKKI
10/04/1810,09/04/2000,SUGIURAKE-NIKKI
13/04/1804,13/04/2000,SUGIURAKE-NIKKI
14/04/1877,13/04/2000,SUGIURAKE-NIKKI
15/04/1801,14/04/2000,SUGIURAKE-NIKKI
16/04/1819,15/04/2000,RAI-BAISHI-NIKKI
17/04/1809,16/04/2000,SUGIURAKE-NIKKI
17/04/1824,17/04/2000,RAI-BAISHI-NIKKI
19/04/1850,18/04/2000,SUGIURAKE-NIKKI
20/04/1803,19/04/2000,SUGIURAKE-NIKKI
20/04/1811,19/04/2000,SUGIURAKE-NIKKI
22/04/1829,21/04/2000,RAI-BAISHI-NIKKI
22/04/1881,21/04/2000,UEKI-SHISEI-NIKKI
22/04/1832,22/04/2000,GAKUSUI-NIKKI
23/04/1814,22/04/2000,RAI-SANYO-NIPPU
24/04/1806,23/04/2000,SUGIURAKE-NIKKI
26/04/1807,25/04/2000,SUGIURAKE-NIKKI
29/04/1812,29/04/2000,SUGIURAKE-NIKKI
06/04/1802,05/04/2000,SUGIURAKE-NIKKI
10/04/1849,09/04/2000,SANEAKIRA-KYOKI
11/04/1855,10/04/2000,SADANAKA-KYOKI
12/04/1816,12/04/2000,HARU-NO-NISHIKI
16/04/1818,15/04/2000,HIRAMATSUKE-NIKKI
16/04/1843,15/04/2000,SANEAKIRA-KYOKI
18/04/1857,17/04/2000,HANA-NO-SHITABUSHI
20/04/1817,19/04/2000,SADANAKA-KYOKI
21/04/1815,20/04/2000,SADANAKA-KYOKI
21/04/1836,21/04/2000,FUDEMAKASE
22/04/1852,22/04/2000,SADANAKA-KYOKI
07/04/1865,06/04/2000,TAKAGI-ZAICHU-NIKKI
09/04/1870,08/04/2000,TAKAGI-ZAICHU-NIKKI
10/04/1861,09/04/2000,TAKAGI-ZAICHU-NIKKI
14/04/1858,13/04/2000,TAKAGI-ZAICHU-NIKKI
14/04/1871,13/04/2000,TAKAGI-ZAICHU-NIKKI
20/04/1856,20/04/2000,TAKAGI-ZAICHU-NIKKI
12/04/1851,11/04/2000,MADENOKOJI-NIKKI
04/04/1820,04/04/2000,RAI-SANYO-NIPPU
06/04/1842,05/04/2000,KYOJIN-HOSSINNO-NIKKI
10/04/1827,09/04/2000,RAI-BAISHI-NIKKI
11/04/1848,11/04/2000,MIAKE-SHONOSUKE-NIKKI
12/04/1866,11/04/2000,KOMEI-TENNOKI
12/04/1822,11/04/2000,RAI-SANYO-NIPPU
12/04/1879,11/04/2000,SUGIURAKE-NIKKI
12/04/1854,11/04/2000,TAKOYAKUSHI-MACHINIKKI
14/04/1840,14/04/2000,SUGIURAKE-NIKKI
15/04/1830,14/04/2000,RAI-SANYO-NIPPU
16/04/1823,15/04/2000,RAI-SANYO-NIPPU
17/04/1833,16/04/2000,GAKUSUI-NIKKI
17/04/1841,16/04/2000,KYOJIN-HOSSINNO-NIKKI
17/04/1883,16/04/2000,SUGIURAKE-NIKKI
18/04/1886,17/04/2000,SUGIURAKE-NIKKI
18/04/1884,18/04/2000,SUGIURAKE-NIKKI
19/04/1826,18/04/2000,RAI-SANYO-NIPPU
19/04/1838,18/04/2000,SUGIURAKE-NIKKI
19/04/1880,19/04/2000,SUGIURAKE-NIKKI
20/04/1859,19/04/2000,NAKAYAMAISAKO-NIKKI
21/04/1834,20/04/2000,SUGIURAKE-NIKKI
21/04/1837,20/04/2000,SUGIURAKE-NIKKI
22/04/1835,21/04/2000,SUGIURAKE-NIKKI
22/04/1828,22/04/2000,RAI-SANYO-NIPPU
24/04/1831,23/04/2000,RAI-SANYO-NIPPU
27/04/1862,26/04/2000,KOMEI-TENNOKI
30/04/1839,29/04/2000,SUGIURAKE-NIKKI
11/04/1867,10/04/2000,OZAKITADAMASA-NIKKI
12/04/1845,11/04/2000,SANEAKIRA-KYOKI
15/04/1844,15/04/2000,SANEAKIRA-KYOKI
17/04/1813,16/04/2000,SANEHISA-KYOKI
19/04/1887,18/04/2000,NEWS-PAPER(ARASHIYAMA)
19/04/1821,18/04/2000,SANEHISA-KYOKI
23/04/1885,22/04/2000,NEWS-PAPER(ARASHIYAMA)
24/04/1825,23/04/2000,SANEHISA-KYOKI
11/04/1878,10/04/2000,HAYAMIKE-NIKKI
13/04/1875,12/04/2000,HAYAMIKE-NIKKI
13/04/1868,13/04/2000,GAKKAI-NICHIROKU
14/04/1873,13/04/2000,HAYAMIKE-NIKKI
15/04/1869,14/04/2000,TAKAGI-ZAICHU-NIKKI
17/04/1874,16/04/2000,HAYAMIKE-NIKKI
20/04/1876,20/04/2000,HAYAMIKE-NIKKI
22/04/1860,22/04/2000,TAKAGI-ZAICHU-NIKKI
08/04/1846,07/04/2000,TEIEN-EISO
28/04/1863,27/04/2000,YATAKA-SHU
