Year,DOY,Reference Name
22/04/1169,21/04/2000,DAIGOJI-ZATSUYO
23/04/1170,22/04/2000,DAIGOJI-ZATSUYO
12/04/1172,12/04/2000,DAIGOJI-ZATSUYO
27/04/1173,26/04/2000,DAIGOJI-ZATSUYO
22/04/1174,21/04/2000,DAIGOJI-ZATSUYO
23/04/1175,22/04/2000,DAIGOJI-ZATSUYO
22/04/1176,22/04/2000,TAKAKURAIN-ANGEN-ONGAKI
13/04/1179,12/04/2000,SANKAIKI
07/04/1180,07/04/2000,MEIGETSUKI
14/04/1182,13/04/2000,TSUKIMOUDE-WAKASHU(PART-3)
11/04/1183,10/04/2000,DAIGOJI-ZATSUYO
24/04/1184,24/04/2000,GYOKUYO
25/04/1185,24/04/2000,DAIGO-ZOJIKI
14/04/1187,13/04/2000,SAKURAE-RUIJU
16/04/1188,16/04/2000,SAKURAE-RUIJU
22/04/1190,21/04/2000,SHUGYOKU-SHU
16/04/1191,15/04/2000,GYOKUYO
29/04/1194,28/04/2000,NAKASUKEOKI
19/04/1199,18/04/2000,INOKUMA-KAMPAKUKI
13/04/1200,13/04/2000,INOKUMA-KAMPAKUKI
06/04/1201,05/04/2000,INOKUMA-KAMPAKUKI
16/04/1202,15/04/2000,MEIGETSUKI
15/04/1203,14/04/2000,(SHIRYO-SORAN)
19/04/1204,19/04/2000,MEIGETSUKI
15/04/1205,14/04/2000,MEIGETSUKI
14/04/1207,13/04/2000,MEIGETSUKI
22/04/1210,21/04/2000,ASUKAI-SHU
07/04/1212,07/04/2000,GYOKUSOU
17/04/1213,16/04/2000,SHIKIN-WAKASO
12/04/1214,11/04/2000,(SHIRYO-SORAN)
18/04/1215,17/04/2000,MICHIIEKO-MARINIKKI
10/04/1216,10/04/2000,JUNTOKUIN-GYOSHU
11/04/1219,10/04/2000,JUNTOKUIN-GYOSHU
18/04/1220,18/04/2000,EST-from-KJ(NORIMUNE-SHU)
09/04/1221,08/04/2000,SHUI-GUSO
26/04/1223,25/04/2000,MITSUTSUNE-SHU
15/04/1225,14/04/2000,MEIGETSUKI
16/04/1226,15/04/2000,MEIGETSUKI
21/04/1227,20/04/2000,MEIGETSUKI
07/04/1229,06/04/2000,MEIGETSUKI
12/04/1230,11/04/2000,MEIGETSUKI
11/04/1231,10/04/2000,MINKEIKI
01/04/1232,01/04/2000,MINKEIKI
15/04/1233,14/04/2000,MEIGETSUKI
20/04/1235,19/04/2000,MEIGETSUKI
27/03/1236,27/03/2000,SHIIBA-WAKASHU
15/04/1240,15/04/2000,SAMPOIN-MONJO
17/04/1244,17/04/2000,HEIKOKI
18/04/1245,17/04/2000,HEIKOKI
08/04/1246,07/04/2000,MASUKAGAMI
16/04/1247,15/04/2000,ZOKU-HONCHOTSUKAN
18/04/1249,17/04/2000,BENN-NO-NAISHI-NIKKI
26/04/1250,25/04/2000,BENN-NO-NAISHI-NIKKI
10/04/1251,09/04/2000,BENN-NO-NAISHI-NIKKI
20/04/1254,19/04/2000,SAKURAE-RUIJU
04/04/1257,03/04/2000,TSUNETOSHI-KYOKI
06/04/1259,05/04/2000,MASUKAGAMI
07/04/1262,06/04/2000,EST-from-KJ(KUJOKE-REKISEI-KIROKU)
30/04/1263,29/04/2000,ZOKU-HONCHOTSUKAN
12/04/1264,12/04/2000,ZOKU-SHIGUSHO
08/04/1265,07/04/2000,TAMEIE-SHU
15/04/1267,14/04/2000,MISININ-KAMPAKUKI
12/04/1268,12/04/2000,TAMEIE-SHU
10/04/1269,09/04/2000,ZOKU-SHIGUSHO
10/04/1271,09/04/2000,DAINAGON-TAMEIE-SHU
17/04/1275,16/04/2000,TOWAZUGATARI
23/04/1278,22/04/2000,ZOKU-SHIGUSHO(DAIGO)
11/04/1279,10/04/2000,KANCHUKI
11/04/1280,11/04/2000,HARUNO-MIYAMAJI
13/04/1283,12/04/2000,(SHIRYO-SORAN)
11/04/1284,11/04/2000,NAKANOTSUKASA-NIKKI
15/04/1285,14/04/2000,ZOKU-HONCHOTSUKAN
22/04/1286,21/04/2000,ZOKU-SHIGUSHO
20/04/1287,19/04/2000,SANEMI-KYOKI
17/04/1288,17/04/2000,NAKANOTSUKASA-NIKKI
17/04/1289,16/04/2000,NAKANOTSUKASA-NIKKI
16/04/1292,16/04/2000,SANEMI-KYOKI
11/04/1294,10/04/2000,KANCHUKI
